game_dt,game_time_est,home_team_ind,team_id,team_name,team,team_lat,team_lon,opp_id,opp_name,opp,opp_lat,opp_lon,team_travel_m,team_travel_km,team_travel_mi,game_id,route_order
2020-08-02T00:00:00Z,3:30,0,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,BOS,Boston Celtics,Celtics,42.3662,-71.0621,4079234.14479059,4079.23414479059,2534.71779978267,POR_BOS,1
2020-08-04T00:00:00Z,9:00,1,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,HOU,Houston Rockets,Rockets,29.7508,-95.3621,0,0,0,POR_HOU,2
2020-08-06T00:00:00Z,8:00,0,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,DEN,Denver Nuggets,Nuggets,39.7487,-105.0077,1578501.78856145,1578.50178856145,980.835234860214,POR_DEN,1
2020-08-08T00:00:00Z,1:00,1,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,LAC,Los Angeles Clippers,Clippers,34.043,-118.2673,0,0,0,POR_LAC,2
2020-08-09T00:00:00Z,6:30,1,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,PHI,Philadelphia 76ers,76ers,39.900663064,-75.169832654,0,0,0,POR_PHI,2
2020-08-11T00:00:00Z,5:00,0,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,DAL,Dallas Mavericks,Mavericks,32.7903,-96.8101,2626224.19622503,2626.22419622503,1631.85955503255,POR_DAL,1
2020-08-13T00:00:00Z,,0,POR,Portland Trail Blazers,Trail Blazers,45.5316,-122.6668,BKN,Brooklyn Nets,Nets,40.6826,-73.9754,3932578.74025281,3932.57874025281,2443.59038440963,POR_BKN,1
2020-07-31T00:00:00Z,4:00,1,WSH,Washington Wizards,Wizards,38.8981,-77.0208,PHX,Phoenix Suns,Suns,33.4457,-112.0712,0,0,0,WSH_PHX,2
2020-08-02T00:00:00Z,2:00,0,WSH,Washington Wizards,Wizards,38.8981,-77.0208,BKN,Brooklyn Nets,Nets,40.6826,-73.9754,327559.829897896,327.559829897896,203.536179063485,WSH_BKN,1
2020-08-03T00:00:00Z,4:00,1,WSH,Washington Wizards,Wizards,38.8981,-77.0208,IND,Indiana Pacers,Pacers,39.764,-86.1555,0,0,0,WSH_IND,2
2020-08-05T00:00:00Z,4:00,1,WSH,Washington Wizards,Wizards,38.8981,-77.0208,PHI,Philadelphia 76ers,76ers,39.900663064,-75.169832654,0,0,0,WSH_PHI,2
2020-08-07T00:00:00Z,8:00,0,WSH,Washington Wizards,Wizards,38.8981,-77.0208,NOP,New Orleans Pelicans,Pelicans,29.949,-90.0821,1556225.79298895,1556.22579298895,966.993577215334,WSH_NOP,1
2020-08-09T00:00:00Z,12:30,0,WSH,Washington Wizards,Wizards,38.8981,-77.0208,OKC,Oklahoma City Thunder,Thunder,35.4634,-97.5151,1853239.37409257,1853.23937409257,1151.54920311928,WSH_OKC,1
